                              BAB III
             KAMUS ANGGAH-UNGGUH KRUNA
                        BALI – INDONESIA


       Berikut akan disajikan kosakata bahasa Bali lengkap dengan
anggah-ungguh kruna serta padanannya dalam bahasa Indonesia.
Pada kolom satu ditulis kruna andap (biasa), pada kolom dua ditulis
kruna alus singgih (jika ada), pada kolom tiga ditulis kruna alus sor
(kalau ada), pada kolom empat ditulis kruna alus mider (jika bentuk
alusnya hanya satu) atau ditulis kruna mider (jika kata-kata tersebut
tidak memiliki bentuk halus). Selanjutnya, pada kolom lima ditulis
kata bahasa Indonesianya.

 Kt.Andap    Kata Asi     Kata Aso      Ami/Mider      Kata BI
sumeken     -          -         sayuakti      sangat benar
sumingkin   -          -         sayan         semakin
sumpah      -          -         upata         sumpah
sunar       -          -         cahya         sinar
sundih      -          -         suar          lampu
surat       sualapatra rerepi    -             surat
                                                           81

surud       -         -       parid         pugar sajian
susun,      -         -       dudon,        susun
susunan     -         -       dudonan       susunan
suud        -         -       wusan         berhenti
tabia       -         -       cabé, pedes   cabai
tai         koratan   bacin   -             berak
tabik       -         -       sugra         permisi
taén        -         -       naenan        pernah
taer        -         -       langgeng      teguh iman
tagih       -         -       arsang,       pinta,
nagih       -         -       ngarsayang    meminta
tajén       -         -       klecan        sabung ayam
takeh       -         -       tarka         terka
takon       -         -       takén         tanya
patakon     -         -       pitakén       pertanyaan
takut       -         -       ajerih        takut
talang,                       nénten        kosong,
            -         -
matalang                      madaging      tidak berisi
taluh       -         -       endog         telur
taman       -         -       udiana        taman
tambunang   -         -       pupulang      kumpulkan
tamiu       -         -       atiti         tamu
tampi       -         -       terima        terima
tanah       -         -       pertiwi       bumi
tanem       -         -       pendem        timbun
                                                           82

tanem      -            -         tandur      tanam
taneman    -            -         tanduran    tanaman
tapih      sinjang      tapih     -           kain dalam
taun       -            -         warsa       tahun
tangkah    wijang       tangkah   -           dada
tangkil    ngrauhin     pedek     -           menghadap
tatu       kanin        sida      -           luka
tawang,    -            -         uningin     ketahui
nawang     -            -         uning       tahu
téken      lingga       téken     -           tanda
           tanganin                           tangani
tékenan    lingga       tékenan   -           tanda
           tangan                             tangan
tebag      -            -         tarka,      tebak
nebag      -            -         narka       menebak
tebek      -            -         tuek        tusuk
tebus      -            -         tebas       tebus
tegak      -            -         linggih,    kedudukan,
negak      -            -         malinggih   duduk
tegakan    palinggian   tegakan   -           kendaraan
tegarang   -            -         indayang    coba
tekén      olih         antuk     -           oleh
teli       srira        teli      -           pepek
tendas     sirah        duur      -           kepala
tenges     lémes        ténges    -           ingus
                                                              83

tepuk         panggih    kantenang    -           temukan
tilu          kilu       tilu         -           berak telinga

tingal        cingak     kanten       -           lihat
tlapakan      tapak      tlapakan     -           telapak
tlapak lima   karatala   tapak lima   -           tapak tangan
tolih         cingak     tingal       -           lihat
tongos        linggih    genah        -           tempat or
trima         tampénin   terima       -           terima
tua           lingsir    tua, odah    -           tua
tujuh         tarjani    tujuh        -           telunjuk
tulang        walung     tulang       -           tulang
tundén        nikain     kénkén       -           suruh
tundun        gigir      tundun       -           punggung
tuun          tedun      tuun         -           turun
tegeh         -          -            luhur       tinggi
tegul         -          -            ringkes     ikat
teka          -          -            rauh        datang
teked         -          -            tiba/rauh   tiba
teku,         -          -            timba,      timba,
neku          -          -            nimba       menimba
telah         -          -            telas       habis
telapak       -          -            tapak       telapak
telat         -          -            kasép       terlambat
teledu        -          -            druta       teledu
teli          -          -            serira      pepek
                                                84

telu,tetelu   -   -   tiga, tri     tiga
telulas       -   -   tugawelas     tigabelas
telulikur     -   -   tigalikur     duapuluh tiga
telun         -   -   3-ng rahina   tiga hari
telung                tigang        tujupuluh
              -   -
benang                benang        lima
telungasa     -   -   tigangdasa    tigapuluh
temako        -   -   seseban       tembakau
tempa         -   -   tiru          tiru
nempa         -   -   niru          meniru
temu          -   -   cunduk        temu
katemu        -   -   kacunduk      bertemu
tenga         -   -   arda          setengah
tengah        -   -   madia, jero   tengah
tenga                 tengah        tengah
              -   -
peteng                wengi         malam
tengah        -   -   jeroan        tengah
tengai        -   -   siang         siang
tengai                tajeg         tengah
              -   -
tepet                 suryané       hari
tengawan      -   -   tengen        kanan
tengébot      -   -   kiwa          kiri
téngés        -   -   lémés         ingus
tenget        -   -   pingit        keramat
tenggek       -   -   ulu           kepala
                                                  85

tengkak     -   -   tenak          dahak
tengkejut   -   -   kagiat         kaget
teruna      -   -   teruni         jejaka
tetenger    -   -   anumana        ciri, tafsir
tetujon     -   -   patitis        tujuan
tibah       -   -   wengkudu       tibah
tiban       -   -   warsa          tahun
atiban      -   -   awarsa         setahun
tidong      -   -   nénten         tidak, bukan
tiing       -   -   gesing         bambu
tikeh       -   -   klasa, tiker   tikar
tiktik      -   -   klentit        itil
tileh       -   -   sukla          utuh
timbal      -   -   gentos         ganti
nimbalin    -   -   ngentosin      mengganti
timpal      -   -   suitra         teman
tingkah     -   -   parisolah      perilaku
tingkih     -   -   kemeri         kemiri
tipat       -   -   anaman         ketupat
tiuk        -   -   lémat          pusau
tombén      -   -   nembé          tumben
tondén      -   -   durung         belum
kondén      -   -   déréng         belum
tongos      -   -   genah          tempat
tragia      -   -   sayaga         siap, sianga
                                             86

trampil   -   -   waged       terampil
truna     -   -   truni       jejaka
tua       -   -   lingsir     tua
tuah      -   -   wantah      hanya
tuak      -   -   sajeng      tuak
tuanang   -   -   sésayang    sisakan
tuara     -   -   nénten      tidak
tugel     -   -   ereb        potong
tugelan   -   -   sameton     saudara
tuhu      -   -   sujati      benar
tuju      -   -   ungsi       tuju
tujuan    -   -   tetujon     tujuan
tulah     -   -   alpaka      kualat
tulad     -   -   anggit      tiru
tulang    -   -   walung      tulang
tulis,    -   -   surat,      tulis,
nulus     -   -   nyurat      menulis
tulisan   -   -   sasuratan   karya tulis
tulung    -   -   wantu       bantu
tulus     -   -   durus       jadi
tumbén    -   -   nembé       tumben
tumuli    -   -   raris       lantas, lalu
tuna      -   -   kirang      kurang
tundén    -   -   ndikain     suruh
tunggal   -   -   tunggil     tunggal
                                                    87

tungkas   -         -       tulak     tolak
tuni      -         -       inuni     tadi
tunjel    -         -       geseng    bakar
tunjung   -         -       padma     teratai
tungked   -         -       teteken   tongkat
tuon      -         -       tinut     setia, taat
tur       -         -       miwah     dan
tusing    -         -       nénten    tidak
tusuk     -         -       tuek      tekam
tutur     -         -       baos      petuah
pitutur   -         -       piteket   nasihat
tuuh      -         -       yusa      umur
tuun      -         -       tedun     turun
tuung     -         -       arungan   terung
tuut      -         -       tinut     urut, tiru
tuutin    -         -       tinutin   tiru
uat       otot      uat     -         urat
ubad      -         -       tamba     obat
uban      -         -       dwalya    uban
ubet      -         -       uneb      tutup
ubuh      upapira   piara   -         pelihara
ubuhan    -         -       ingon-2   hewan
ucap      -         -       ojar      ucap, ujar
udeng     -         -       destar    destar
uduh      -         -       titah     perintah
                                                        88

ued, wed    -        -       wit, wiwit    asal mula
ujan        -        -       sabeh         hujan
ukud        -        -       asiki         satu ekor
ukud        -        -       adiri         satu orang
ukudan      anggan   déwék   -             diri
ulangtaun   -        -       wanti warsa   ulang tahun
ulati       -        -       apti          harap
uled        -        -       uler          ulat
uli         -        -       saking        dari
ulihan      -        -       sangkaning    lantaran
ulung       -        -       runtuh        jatuh
ulungdasa -          -       ulungdasa     dlapanpuluh
uma         -        -       carik         sawah
undangan    -        -       uleman        undangan
undeb       -        -       uneb          tutup
ungguh      -        -       unggah        cantum
mungguh     -        -       munggah       tercantum
unggul      -        -       inggil        unggul
unggulang   -        -       inggilang     unggulkan
unduk       -        -       indik         tentang
unteng      -        -       daging, isi   inti, isi
uotin       -        -       tanganin      angkati
upama       -        -       upami         umpama
upamané     -        -       upaminipun    umpamanya
uri, duri   -        -       untat         belakang
                                                            89

urus       -            -         tanganin     urus
ngurusin   -            -         nanganin     menangani
urutan     -            -         orét         sosis
usak       -            -         rusak        rusak
usap,      -            -         apus,        hapus,
ngusap     -            -         ngapus       menghapus
utama      -            -         utami        utama
utamané    -            -         utaminipun   utamanya
utun       -            -         urati        perhatian
uud        -            -         uus          habis
uudan      -            -         uusan        penghabisan
uug        -            -         rug          hancur
uuh        -            -         napi         apa (seru)
uyah       -            -         tasik        garam
uyang      -            -         osah         gelisah
uyut       -            -         umung        ribut
umah       puri, gria   canggah   -            rumah
umah       jero/an      canggah   -            rumah
umbah      wajik        wangsuh   -            cuci
usehan     useran       usehan    -            puser
uwa        ajung uwa    uwa       -            paman
wadih      -            -         waneh        bosan
wai        -            -         rahina       hari
wakil      -            -         petajuh      wakil
wanén      -            -         wania        pemberani
                                            90

waneng     -   -   sengker       batas waktu
wangsit    -   -   sipta         isyarat
warna      -   -   warni         warna
wayang     -   -   ringgit       wayang
wewehan    -   -   wuwuhan       imbuhan
wiadin     -   -   utawi         atau
yadin      -   -   yadiastu      walaupun
yadiapin   -   -   yadiastun     meskipun
yan, yen   -   -   yéning        jika
yasa       -   -   kérti         pengabdian
yéh        -   -   toya          air
yéh mata   -   -   toyan panon   air mata
yoga       -   -   yoga          yoga
                             BAB III
               KAMUS ANGGAH-UNGGUH KRUNA
                        INDONESIA - BALI


       Berikut ini akan disajikan sejumlah kosakata bahasa Indonesia
yang dilengkapi padanannya dalam bahasa Bali. Oleh karena bahasa
Bali memiliki anggah-ungguh kruna, dilengkapi bentuk halusnya
masing-masing, ada bentuk andap, alus singgih dan alus sornya atau
alus mider-nya. Khusus untuk kata-kata yang termasuk kruna mider
(yang tidak punya bentuk halus), ditulis pula pada kolom kruna alus
mider. Semoga daftar kosakata ini dapat membantu anak-anak Bali
dalam menerjemahkan bahasa Indonesia ke dalam bahasa Bali.


 Kata (BI)      Kt.Andap     Kata Asi     Kata Aso     Ami/Mider
 abdi laki      parekan      -            -            ceraka
 abdi wanita    panyeroan    -            -            wangjero
 aben           abén         lebon        abén         -
 abu/debu       abu          -            -            awu
 abu-abu        abu-abu      -            -            awu-awu
 acak           awag         -            -            awur
 acara          acara        -            -            parikrama
 acuh           regeh        -            -            bodri
 ada            ada          -            -            wenten
 adalah         tuah         -            -            wantah
 adakan         adang        -            -            wéntenang
 adik           adi          rai, ari     adi          -


                                 91
                                                      92

adiknya     adiné      arinné     adinné   -
adil        adil       -          -        adil
adili       adilin     -          -        adilin
adu         adu        -          -        centok
aduh        aduh       -          -        -
aduk        aduk       -          -        adon
agama       agama      -          -        agama
agak        tadah      -          -        tadah
agar        apang      -          -        mangda
air         yéh        -          -        toya
air beras   banyu      -          -        langsuan
air mani    pejuh      -          -        kama
air mata    yéh mata   -          -        toyan panon
air semi    enceh      warih      panyuh   -
air tape    berem      -          -        kanca
ajak        ajak       iring      ajak     -
ajal        nasib      -          -        nasib
ajar        ajin       -          -        ajah
ajari       ajahin     -          -        ajahin
ajukan      ajuang     -          -        ajuang
akal        akal       -          -        winaya
akan        lakar      -          -        pacang, jagi
akar        akah       -          -        akar
akrab       leket      -          -        rumaket
aksi        agem       swabhawa   agem     -
                                                            93

aku           saya       gelah         titiang   -
akui          akuin      -             -         angkenin
alang-alang   ambengan   -             -         wirakusa
alas          aled       -             -         taledan
alis          alis       wimba         -         rarik
alpa          alpaka     -             -         alpaka
amal          amal       -             -         punia
aman          aman       -             -         trepti
aman          degdeg     -             -         trepti
amankan       amanang    -             -         amanang
amat tinggi   ngalik     -             -         dahat luhur
amplas        amplas     -             -         amplas
amuk          amuk       -             -         terbak
anak panah    ancaran    -             -         ancaran
anak          panak      oka, putra    pianak    -
anda          cai        ratu, ida     -         ida-dané
anda (prp.)   nyai       ratu (prp.)   luh       -
anggota       anggota    -             -         angga
anggun        abra       -             -         wibawa
angan         keneh      -             -         pikarsa
angin         angin      -             -         bayu
angkasa       langit     -             -         akasa
angkat        tingting   -             -         angkat
angsa         angsa      -             -         soan
anjing        cicing     -             -         asu
                                                         94

antara lain   luiré      -           -      luiripun
apa           apa        -           -      napi
apalagi       apabuin    -           -      napimalih
apanya        apané      -           -      napiné
api           api        -           -      geni
arang         adeng      -           -      areng
arif          sadu       -           -      sadu
arti          arti       -           -      artos
asah          sangih     -           -      asab, tatah
asal          asal       -           -      wit
asal mula     ued, wed   -           -      wit, wiwit
asam          asem       -           -      amla
asap          andus      -           -      asep
atap          raab       -           -      kereb
atas          duur       -           -      luhur
atau          wiadin     -           -      utawi
atma/roh      atma       -           -      jiwatma
awal          jumu       -           -      awit
awur          awag       -           -      awag
awan          ambun      -           -      jlada
ayah          bapa       aji/ajung   bapa   -
ayam          siap       -           -      ayam
babi          céléng     -           -      bawi
baca          paca       -           -      wacén
bagai         alah       -           -      kadi
                                                          95

bagai       cara      -          -            luir/kadi
bagai       buka      -          -            kadi/luir
bagaikan    satmaka   -          -            waluya
bagaimana   kéngkén   -          -            sapunapi
bagi        dum       -          -            pah
bagus       luung     -          -            becik
bahan       lakar     -          -            srana
bahasa      basa      baos       atur/pajar   -
bahu        pala      bahu       pala         -
bajra       genta     -          -            bajra
baju        baju      kuaca      baju         -
baju        klambi    kuaca      klambi       -
bakar       borbor    -          -            geseng
bakar       tunjel    -          -            geseng
bale daja   metén     sarén      metén        -
balik       balik     -          -            walik
bambu       tiing     -          -            gesing
banding     banding   -          -            imbang
bangun      bangun    matangi    bangun       -
bangunkan   dundun    tangiang   dundun       -
banjir      blabar    -          -            blabur
bantal      galeng    -          -            pepedek
bantu       oopin     -          -            wantu
bantu       tulung    -          -            wantu
banyak      liu       -          -            akéh
                                                            96

banyak       ombéh       -           -          akéh
banyak       begeh       -           -          akéh
bantu        tulungin    -           -          wantu
barat        kauh        pascima     kulon      -
barat laut   kaja kauh   -           -          wayabia
bara         baa         -           -          bara
baru         mara        -           -          wawu
basa-basi    ajur-ajér   -           -          ajur-ajér
basi         pasil       -           -          ajul
batal        buung       -           -          wangdé
batas        bates       -           -          wates
batu         batu        -           -          watu
batuk        kohkohan    -           -          watuk
bau          ebo         -           -          ganda
baui         ngadek      -           -          ngungasin
bauin        endus       -           -          ungas
bawa         aba         bakta       buat       -
bawakan      abang       baktayang   buatang    -
bawaan       aban-aban   bebaktan    pabuatan   -
bawah        betén       -           -          sor
bawang
             bawang      -           -          jasun
merah
bawang
             kesuna      -           -          kraban
putih
bayar        bayah       -           -          taur
                                                     97

bebek       bébék       -         -       andara
bedak       pupur       -         -       lepa
begini      kéné        -         -       sapuniki
bekal       bekel       -         -       sangu
bekas       laad        -         -       pecak
bekerja     magaé       -         -       makarya
belajar     malajah     -         -       malajah
belah       belah       -         -       sigar
belakang    uri,duri    -         -       untat
belakang    dori        -         -       ungkur
belalang    balang      -         -       walang
beli        beli        -         -       tumbas
belikan     beliang     -         -       tumbasang
belum       tondén      -         -       durung
benang      benang      -         -       lawé
benar       saja        -         -       jakti
benar       seken       -         -       sujati
benar       beneh       -         -       patut
bencana     baya        -         -       cala
bendahara   bendahara   -         -       patengen
bendera     kobér       -         -       duaja
bengis      bangras     -         -       wirosa
bentak      ambrés      -         -       ambrés
bentuk      bangun      -         -       wangun
berak       tai         koratan   bacin   -
                                                              98

berakibat    makrana     -          -           mapuara
berani       bani        purun      prasangga   -
berapa       kuda        -          -           akuda
beras        baas        -          -           beras
berat        baat        -          -           abot
berbaur      akor        -          -           awor
berbicara    ngomong     mabaos     matur       -
berbicara    ngraos      ngandika   mapajar     -
bercampur    madukan     -          -           macampuh
berganti     masalin     -          -           magentos
bergegas     inceg       -          -           gegésonan
bergerak     alag-élég   -          -           alag-élég
berhenti     marérén     -          -           mararian
berhenti     suud        -          -           wusan
berhias      mapayas     -          -           maiyas
beri         baang       icén       wéhin       -
beringin     bingin      -          -           wandira
berita       kabar       -          -           orti, gatra
berkarisma   marenget    acreng     marenget    -

berkenalan   makenalan   -          -           nyinahang
                                                angga
berkumpul    ampud       -          -           -
berkumpul    mapunduh    -          -           mapupul
berkunjung   madelokan   -          -           mawidara
berlomba     mapadu      -          -           macentok
                                                            99

bernama       madan       mapeséngn   mawasta   -
bernama       madan       maparab     mawasta   -
bersedia      nyadia      -           -         misadia
bersetubuh    makatuk     -           -         makarma
bersih        kedas       -           -         resik
bersih-2      makekedas   -           -         mareresik
bertambah     maimbuh     -           -         maweweh
bertanya      matakon     -           -         matakén
bertatap      marepan     -           -         mapadu
bertemu       matemu      -           -         macunduk
berteriak     nyerit      ndulamé     nyerit    -
berwibawa     matelek     -           -         mawibhawa
besar         gedé        -           -         ageng
besar/kekar   abiuh       -           -         -
besar         anas        -           -         -
beserta       maruntut    -           -         maduluran
besok         binmani     -           -         bénjang
              betekan                 betekan
betis                     langsang              -
              batis                   batis
biarkan       depin       -           -         bangyang
biarkan       endepang    -           -         bangyang
biasa         biasa       -           -         ketah
biaya         béa         -           -         prabia
bibir         bibih       lambé       bibih     -
bibit         bibit       -           -         winih/wiwit
                                                            100

bicara       raos         wecana   pajar, atur   -
bicara       omong        baos     pajar/atur    -
bidang       bidang       -        -             widang
bidadari     dedari       -        -             widiadari
bijaksana    wicaksana    -        -             wicaksana
biji         bija         -        -             wija
binatang     buron        -        -             sato/prani
bingung      paling       -        -             sisu
birahi       buang        -        -             kasmaran
bisa         bisa         -        -             midep
bisa/dapat   nyidang      -        -             prasida
blibis       blibis       -        -             drawata
brangkat     luas         -        -             lunga
buah         buah         -        -             woh
buahpetir    butuh        panta    butuh         -
buat apa     gena         -        -             anggé napi
bubur        bubuh        -        -             gendar
buka         ampakang     -        -             ampakang
buku         buku         -        -             pustaka
bulan        bulan        -        -             wulan
bulu         bulu         -        -             retih
bulu mata    bulun mata   -        -             ringring
bulu padi    medang       -        -             miang
bumi         tanah        -        -             pertiwi
bumi         gumi         -        -             jagat
                                                     101

bunga        bunga     -          -        sekar
bungakan     bungang   -          -        sekarang
bungsil      bungsil   -          -        biluk
burung       kedis     -          -        paksi
butir        bungkul   -          -        wiji
bodoh        belog     -          -        tambet
bosan        wadih     waneh      wadih    -
bosan        emed      waneh      wadih    -
botak        lengar    sulah      lengar   -
botol        pucung    -          -        botol
brewok       kalés     beris      kalés    -
bumi         gumi      -          -        jagat
cabai        tabia     -          -        cabé
cabut        amud      -          -        -
cabut        abut      -          -        unus
cacat        mala      cédangga   cacad    -
cacing tanah abuati    -          -        tumuati
cahaya       sunar     -          -        téja/cahya
camilan      amikan    -          -        amikan
campur       agi       -          -        adon
candu        ampiun    -          -        ampiun
canggung     agang     -          -        agang
cari         alih      -          -        rereh
carita       satua     -          -        cerita
cela/cacat   cacad     -          -        céda/mala
                                                          102

cenik          cerik      -         -          alit
cepat          becat      -         -          gelis
cepat          encol      -         -          gelis
cepat          enggal     -         -          gelis
cepat          gangsar    --        -          gelis
ceretan        caratan    -         -          cecepan
cerita         gancaran   -         -          cerita
ceroboh        ampah      -         -          ampah
cermin         meka       -         -          cermi
cincin         bungkung   ali-ali   bungkung   -
ciri           ciri       -         -          cihna
ciri, tafsir   tetenger   -         -          anumana
cium           diman      aras      diman      -
coba           cobak      -         -          indayang
cobalah        indarang   -         -          indayang
cocok          adung      -         -          anut
contoh         conto      -         -          imba
crewet         lamis      -         -          lémés
cuci           baseh      wangsuh   wajik      -
cuci           umbah      wajik     wangsuh    -
cuci muka      masugi     maraup    masugi     -
cucu           cucu       putu      cucu       -
cukup          genep      -         -          tegep
curiga         cenidra    -         -          cenidra
dada           tangkah    dada      tangkah    -
                                                           103

dagu       cadik      lelénték     cadik       -
dahak      tengkak    -            -           tenak
dahi       gidat      lelata       gidat       -
dahulu     pidan      -            -           dumun, riin
dalam      tengah     -            -           jeroan
dan        muah       -            -           miwah
dapat      maan       -            -           polih
pendapat   pamineh    pamikayun    manah       -
dapur      paon       parantenan   pawaregan   -
darah      getih      -            -           rah
dari       uli        -            -           saking
datang     teka       -            -           rauh
daun       don        -            -           daun
delapan    kutus      -            -           asta, ulu
darah      getih      -            -           rah
demikian   kéto       sapunika     kénten      -
dengan     pang       -            -           ping
keras      sanget     -            -           banget
dengar     dingeh     pireng       piragi      -
depan      malu       ajeng        arep        -
depan      aep        ajeng        arep        -
deras      parus      -            -           deres
deras      bales      -            -           rames
deretan    riringan   -            -           jajaran
derma      punia      -            -           punia
                                                        104

destar       udeng       -        -         destar
dewasa       kelih       anom     kelih     -
di           di/ba       -        -         ring
di, pada     di, sid     -        -         ring
diam         siep        -        -         meneng
diam         oyong       meneng   ngoyong   -
diam         nengil      meneng   mendep    -
diam         mendep      meneng   mendep    -
dicari       alihin      -        -         rerehin
didapat      bakat       -        -         keniang
diharapkan   agenang     -        -         aptiang
dingin       dingin      -        -         gesit
dikurangi    kakuangin   -        -         kakirangin
dpakai       kanggon     -        -         kanggén
dipilih      kapilih     -        -         kajudi
dipuji       kaajum      -        -         kapuji
diri         ukudan      anggan   sikian    -
diri         awak        angga    déwék     -
disucikan    kasuciang   -        -         kasuciang
dituju       katuju      -        -         jumujug
di atas      ba duur     -        -         ring luhur
di bawah     betén       -        -         ring sor
di luar      di sisi     -        -         ring jaba
di sana      ditu        -        -         irika
di sini      dini        -        -         iriki
                                                        105

dua          dua         -           -       kalih
dua          dadua       -           -       kekalih
dua kali     pindo       -           -       ping kalih
dua puluh    duang dasa -            -       kalih dasa
duahari      kapuan      -           -       kalih rahina
duaratus     satak       -           -       satak
duda/janda   balu        -           -       walu
duduk        negak       malinggih   negak   -
dupa         dupa        -           -       asep
duri         dui         -           -       rui
edar         ideh        -           -       ider
edar         indeng      -           -       ider
ekor         ikut        -           -       ikuh
emas         emas        -           -       kencana
empat        pat         -           -       papat
enam         nem         -           -       nenem
entaran      endén       -           -       malih jebos
era          aab         -           -       pakibeh
gadai        gadé        -           -       sanda
gajah        gajah       -           -       asti
gampang      aluh/élah   -           -       dangan
ganteng      abra        acreng      abra    -
ganti        séh         -           -       gentos
ganti        ganti       -           -       gentos
gantinin     timbalin    -           -       gentosin
                                                106

garam     uyah      -        -        tasik
gatal     genit     -        -        gatel
gelang    gelang    pingel   gelang   -
gelisah   uyang     -        -        osah
gembira   girang    rena     girang   -
gempa     linuh     -        -        lindu
gemuk     mokoh     ébuh     mokoh    -
genggam   gemel     -        -        gegem
genta     klénéng   -        -        bajra
gertak    amprag    -        -        amprag
gigi      gigi      untu     gigi     -
gigit     akes      -        -        akes
gila      buduh     -        -        édan
gugu      gugu      -        -        gega
gugu      sadin     -        -        gega
gula      gula      -        -        gendis
gulung    gulung    -        -        ringkes
guna      guna      -        -        pikenoh
gunting   gunting   -        -        gotra
gunung    gunung    -        -        giri
guru      guru      -        -        acarya
gusi      isit      lati     isit     -
habis     telah     -        -        telas
habis     ambles    -        -        telas
hadiah    adiah     -        -        adiah
                                                        107

hadirin pura   patangkil   -        -        pamedek
halaman        natah       -        -        natar
halangan       alangan     -        -        piambeng
halangan       pialang     -        -        piambeng
hamil          beling      mobot    abot     -
hamil tua      ampag       -        -        ampag
hampir         das         -        -        tambis
hampir         imang       -        -        tambis
hancur         ajur        -        -        ajur
hancur         nyag        -        -        brasta
hancur         uug         -        -        rug
handal         cager       -        -        umandel
hanya          tuah        -        -        wantah
hapus          usap        -        -        usap
harap          ajap        -        -        apti
harap          ulati       -        -        apti
harapan        pangacep    -        -        pangapti
harga          aji         -        -        arga
hari           wai         -        -        rahina
hari           dina        -        -        rahina
harimau        macan       -        -        sardula
hari gini      kali jani   -        -        kali mangkin

hari lahir     otonan      odalan   otonan   -
hasil          asil        -        -        pikolih
hati           ati         angen    -        ati
                                                          108

haus          bedak      kasatan     bedak      -
heboh         iyur       -           -          ketah
heboh         ombé       -           -          biuh
heran         bengong    -           -          angob
hewan         ubuan      -           -          ingon-ingon
hidam         idam       rempini     idam       -
hidang        sagi       suguh       sagi       -
hidangan      sajian     -           -          pisuguh
hidung        cunguh     irung       cunguh     -
hidup         idup       nyeneng     urip       -
hijau         ijo        -           -          wilis
hilang        ilang      ical        ilang      -
hinap         inep       rerep       inep       -
hingga        kayang     -           -          kantos
hiri          iri        irsia       iri        -
hisap         sesep      tayub       sesep      -
hitam         selem      -           -          ireng
hitung        itung      -           -          wilang
hujan         ujan       -           -          sabeh
hulu kepala   pabaan     siwaduara   wunwunan -
hutan         alas       -           -          wana
ia            ia         ida, dané   ipun       -
ibu           mémé       biang       mémé       -
ibujari       inanlima   ibuguli     inanlima   -
ikan          bé         -           -          ulam
                                                              109

ikat           tegul        -          -           banda
Ikat pingang sabuk          papetet    sabuk       -
iklas          elas         -          -           lalis
ikut           milu         -          -           milet
ikut           bareng       -          -           sareng
ilalang        ambengan     -          -           warikusa
ilmu           ajah         -          -           aji
ilmu hitam     pengléakan   pangiwa    penéstian   -
imbuhan        wewehan      -          -           wewehan
ingat          inget        -          -           éling
ingin          dot          -          -           meled
ingin sekali   sarat        pisereng   kedeh       -
ingkar         linyok       -          -           piwal
ingus          téngés       lémes      téngés      -
ini            ené          -          -           puniki
inti, isi      unteng       -          -           daging, isi
ipar           ipah         ipén       ipah        -
iris           iyis         -          -           iris
isi            isi          -          -           daging
isteri         kurenan      rabi       kurenan     -
istirahat      merérén      mararéan   masandekn   -
isyarat        wangsit      -          -           sipta
itil           tiktik       -          -           klentit
itu            ento         -          -           punika
iya            nah          -          -           inggih
                                                                    110

jadi          tulus          payu          durus          -
jaga          ijeng          -             -              kemit
jahat         corah          -             -              dusta
jajan         jaja           -             -              sanganan
jalan         rurung         -             -              margi
jalannya      pajalané       -             -              pamarginé
jalan-jalan   nglindeng      masesanjan nglindeng         -
jangan        eda            -             -              sampunang
janji         sobaya         -             -              semaya
janji         sangi          -             -              sasaudan
kaul          sesangi        -             -              punagi
jantung       pusuhan        -             -              pusuhan
janur         busung         -             -              janur
jarang        kapah          -             -              arang
jari          jriji          guli          jriji          -
jari kaki     jrijin batis   gulin cokor   jrijin batis
jari manis    anamika        -             -              -
Jari tangan   jrijin lima    guli tangan   jrijin lima
jatuh         ulung          -             -              runtuh
jatuh         labuh          runtuh        labuh          -
jejaka        truna          -             -              truni
jejer         ambiar         -             -              ambiar
berjejer      ngambiar       -             -              ngambiar
jelek         kasar          -             -              kaon
jemput        pagpag         pendak        pagpag         -
                                                         111

jenggot       jénggot     rawé      jénggot   -
jika/kalau    lamun       -         -         yéning
jika          yen         -         -         yéning
jika          yen         -         -         pradé
ambil         jemak       -         -         ambil
jual          adep        -         -         adol
juara         juara       -         -         jayanti
juga          masi        -         -         taler
juru bicara   juru raos   -         -         juru baos
kabar         kabar       -         -         gatra
kaca mata     kaca mata   -         -         kasna
kacau         adur        -         -         awor
kadang-2      napkala     -         -         padgata
kagum         ngon        angob     ngon      -
kain          kamen       wastra    kamen     -
kakak (pr.)   embok       raka      embok     -
kakek         pekak       kakiang   pekak     -
kaki          batis       cokor     buntut    -
kalah         kalah       -         -         kasor
kalah         kalah       -         -         kaon
kali          pang        -         -         ping
kambuh        ngentah     -         -         kumat
kampuh        saput       -         -         kampuh
kanan         kenawan     -         -         tengen
kangen        kangen      -         -         kapingon
                                                           112

kapur        pamor        -            -        apuh
karang       gurit        -            -        kawi
karang       kaang        -            -        karang
karangan     karangan     -            -        reriptan
karena       krana        -            -        duaning
kasta        wangsa       -            -        wangsa
kasur        kasur        -            -        tilam
kata         kruna        -            -        kruna
katakan      orahang      -            -        nikang
kata         sembrama     -            -        sembrama
sambutan     wecana                             wecana
kawin        ngantén      -            -        mawiwaha
kayu         kayu         -            -        taru
keadaan      kadaan       -            -        kawéntenan
keadaan      kadaan       -            -        kahanan
kebetulan    kabenengan   -            -        katepetan
kecil        cenik        -            -        alit
kecilan      cenikan      -            -        alitan
kedudukan    tegak        -            -        linggih
keguguran    karuron      -            -        brunaha
kelingking   kacing       cililingan   kacing   -
keliaran     seliweran    -            -        seliweran
keluar       pesu         medal        metu     medal
keluarga     kadang       -            -        wargi
keluarga     braya        kulawarga    nyama    -
