                              BAB III
             KAMUS ANGGAH-UNGGUH KRUNA
                        BALI – INDONESIA


       Berikut akan disajikan kosakata bahasa Bali lengkap dengan
anggah-ungguh kruna serta padanannya dalam bahasa Indonesia.
Pada kolom satu ditulis kruna andap (biasa), pada kolom dua ditulis
kruna alus singgih (jika ada), pada kolom tiga ditulis kruna alus sor
(kalau ada), pada kolom empat ditulis kruna alus mider (jika bentuk
alusnya hanya satu) atau ditulis kruna mider (jika kata-kata tersebut
tidak memiliki bentuk halus). Selanjutnya, pada kolom lima ditulis
kata bahasa Indonesianya.

 Kt.Andap    Kata Asi     Kata Aso      Ami/Mider      Kata BI
diman      aras       diman     -           cium
dina       -          -         rahina      hari
dini       -          -         iriki       di sini
dingin     -          -         gesit       dingin
dingeh     pireng     piragi    -           dengar
ditu       -          -         irika       di sana
diwang     -          -         ring jaba   di luar
dogén      -          -         kéwanten    saja
don        -          -         daun        daun
                                                            44

dong         -          -        ten           tak
dori         -          -        ungkur        belakang
dot          -          -        meled         Ingin
dua          -          -        kalih         dua
dualikur     -          -        kalih likur   duapuluh 2
duang dasa   -          -        kalih dasa    duapuluh
duduk        -          -        ambil         ambil
dueg         wikan      dueg     -             pandai
dueg         pradnyan   dueg     -             pintar
duges        -          -        daweg         saat
dugdug       -          -        pulpul        timbun
dui          -          -        rui           duri
dum          -          -        pah           bagi
dumadak      -          -        mogi-mogi     semoga
dumadi       -          -        dumateng      menitis
dundun       tangiang   dundun   -             bangunkan

dupa         -          -        asep          dupa
duri         -          -        ungkur        belakang
duur         -          -        luhur         atas
ebo          -          -        ganda         bau
eda          -          -        sampunag      jangan
elas         -          -        lalis         iklas
elek         kémad      kimud    -             malu
eling        tangis     éling    -             tangis
emas         -          -        kencana       emas
                                                      45

embok      raka     embok    -            kakak (prp)
embus      lukar    embus    -            lepas
emed       waneh    wadih    -            bosan
emem       -        -        kerem        rendam
empu       emban    empu     -            momong
enceh      warih    panyuh   -            air semi
encén      -        -        né encén     mana
endep      -        -        meneng       diam
endepang   -        -        bangyang     biarkan
endén      -        -        mangkin      sbentaran
malu                         dumun        ya
endus      -        -        ungas        bauin
ené        -        -        puniki       ini
entas      -        -        lintang      lintas
enteg      -        -        degdeg       normal
enten      tangi    enten    -            terjaga
ento       -        -        punika       itu
entug      -        -        weweh        tambah
entud      lentur   entud    -            lutut
entut      ampru    entut    -            kentut
enu        -        -        kari         masih
engkén     -        -        sané ngkén   yang mana
engsap     -        -        lali         lupa
engseb     -        -        surup        terbenam
engsek     -        -        mangenan     termangu
                                                      46

enyak      kayun   enyak   -            mau
élah       -       -       dangan       gampang
éncol      -       -       gelis        cepat
éndép      -       -       andap        rendah
énggal     -       -       gelis        cepat
éngkén     -       -       sapunapi     bagaimana
gabeng     -       -       marma        tidak pasti
gadé       -       -       sanda        gadai
gaé        -       -       karya        kerja
ngaé       -       -       ngarya       membuat
ngaénang   -       -       ngaryanang   membuatkan

gapgapan   -       -       rarapan      oleh-oleh
gajah      -       -       asti         gajah
galang     -       -       terak        terang
galeng     -       -       pepedek      bantal
gancaran   -       -       cerita       cerita
gangsar    -       -       gelis        cepat
ganti      -       -       gentos       ganti
gantin     -       -       anjekan      saat
garap      -       -       karyanin     kerjakan
gati       pisan   pesan   -            sangat
gedeg      duka    pedih   -            marah
gedé       -       -       ageng        besar
gedi       -       -       tilar        minggat
geginan    -       -       swagina      profesi
                                                         47

gegisian   -         -          gegamelan    pegangan
geguat     -         -          sepat siku   pedoman
gelah      drué      derbé      -            milik
gelang     pingel    gelang     -            gelang
gelek      -         -          leled        telan
gelem      sungkan   sengkaon   -            sakit
gelungan   bawa      gelungan   -            mahkota
gemel      -         -          gegem        genggam
gemuh      -         -          gemahlipah   sejahtera
gen        -         -          duk/daweg    ketika
gena       -         -          anggé napi   buat apa
gending    -         -          gita         lagu
genep      -         -          tegep        cukup
genep      -         -          jangkep      lengkap
genit      -         -          gatel        gatal
genta      -         -          bajra        bajra
gerang     -         -          gereh        teri
getep      -         -          tebas        potong
getih      -         -          rah          darah
gélan      tetagon   tunangan   -            pacar
gén        kémaon    gén        -            saja
gidat      lelata    gidat      -            dahi
gigi       untu      gigi       -            gigi
gina       -         -          swagina      profesi
girang     rena      girang     -            gembira
                                                              48

gisi         -          -          gamel        pegang
glindeng     sesanjan   glindeng   -            jalan-jalan
goba         warni      rupa       -            rupa
gugu         -          -          gega         gugu
gula         -          -          gendis       gula
gulung       -          -          ringkes      gulung
gumi         -          -          jagat        bumi
gumi         -          -          bhuana       dunia
guna         -          -          pikenoh      guna
gunting      -          -          gotra        gunting
gunung       -          -          giri         gunung
gurit        -          -          kawi         karang
guru         -          -          acarya       guru
Ia           ida/dané   ipun       -            ia
ibi          -          -          dibi         kemarin
ibi lemeng   -          -          dibi wengi   kmrin mlm
ibi sanja    -          -          dibi sandé   tadi malam
ibuk         -          -          osek         resah
icang/iang gelah/ira    titiang    -            saya
idam         rempini    idam       -            hidam
ideh         -          -          ider         edar
idih         arsang     tunas      -            pinta
idup         nyeneng    urip       -            hidup
igel         -          -          solah        tari
igel-2-an    -          -          sesolahan    tarian
                                                           49

igum       -           -         rarem         sepakat
ijeng      -           -         kemit         jaga
ijo        -           -         wilis         hijau
iju-iju    -           -         sahasa        bergegas
iket       -           -         banda         tegul
icang/iang gelah/ira   titiang   -             saya
idam       rempini     idam      -             hidam
ideh       -           -         ider          edar
idih       arsang      tunas     -             pinta
idup       nyeneng     urip      -             hidup
igel       -           -         solah         tari
Igel2an    -           -         sesolahan     tarian
igum       -           -         rarem         sepakat
ijeng      -           -         kemit         jaga
ijo        -           -         wilis         hijau
iju-iju    -           -         gelis-gelir   bergegas
iket       basta       tegul     -             tegul
ikut       ikuh        ikut      -             ekor
ilang      ical        ilang     -             hilang
ileh       iler        ileh      -             putar
ilid       -           -         singid        sembunyi
ilu        -           -         dumun         dulu
imang      -           -         tambis        hampir
imbuh      -           -         weweh         tambah
maimbuh    -           -         maweweh       bertambah
                                                           50

imbuhin    -         -          wewehin        tambahi
ina        -         -          ina            induk betina
pangina    -         -          pangina        induk ayam
inanlima   ibuguli   inanlima   -              ibujari
indar      -         -          inda           coba
indarang   -         -          indayang       cobalah
indeng     -         -          inder          edar
inem       -         -          inum           minum
inep       rerep     inep       -              hinap
inget      -         -          éling          ingat
ipah       ipén      ipah       -              ipar
ipi        sumpena   ipi        -              mimpi
ipuan      -         -          kalihrahina    duahari lalu
iri        irsia     iri        -              hiri
irib       -         -          inab           kira
mirib      -         -          minab          kira-kira
